205.0, 805.0, 205.0, 605.0, 805.0, 205.0
205.0, 805.0, 205.0, 200.0, 1200.0, 200.0
200.0, 1200.0, 200.0, 600.0, 1200.0, 200.0
605.0, 805.0, 205.0, 600.0, 1200.0, 200.0
205.0, 805.0, 205.0, 205.0, 805.0, 605.0
605.0, 805.0, 205.0, 605.0, 805.0, 605.0
200.0, 1200.0, 200.0, 200.0, 1200.0, 600.0
600.0, 1200.0, 200.0, 600.0, 1200.0, 600.0
205.0, 805.0, 605.0, 605.0, 805.0, 605.0
205.0, 805.0, 605.0, 200.0, 1200.0, 600.0
200.0, 1200.0, 600.0, 600.0, 1200.0, 600.0
605.0, 805.0, 605.0, 600.0, 1200.0, 600.0

